District,Mandal,Date,Rainfall (mm),temp_min (⁰C),temp_max (⁰C),humidity_min (%),humidity_max (%),wind_speed_max (Kmph),wind_speed_min (Kmph)
Adilabad,Bheempoor,2019/01/01,0,3.2,27.2,22.3,89.9,0,1.3
Adilabad,Bheempoor,2019/01/02,0,5,29.4,28.7,86.8,0,1
Adilabad,Bheempoor,2019/01/03,0,6.8,31.3,31.8,83.3,0,1.3
Adilabad,Bheempoor,2019/01/04,0,7.5,30.8,39.9,93.7,0,0.8
Adilabad,Bheempoor,2019/01/05,0,8.8,31.2,38.4,90.4,0,0.7
Adilabad,Bheempoor,2019/01/06,0,11.3,30.8,44.3,90.7,0,0.8
Adilabad,Bheempoor,2019/01/07,0,11.8,30.1,37.2,93.3,0,2.3
Adilabad,Bheempoor,2019/01/08,0,6.5,28.3,36.9,91.8,0,1.6
Adilabad,Bheempoor,2019/01/09,0,5,26.9,26.5,93.1,0,1.3
Adilabad,Bheempoor,2019/01/10,0,5.4,28.5,35.1,89.5,0,0.5
Adilabad,Bheempoor,2019/01/11,0,7.4,29.6,37.9,89.9,0,0.7
Adilabad,Bheempoor,2019/01/12,0,11.8,31.2,42.3,95.2,0,0.8
Adilabad,Bheempoor,2019/01/13,0,16,31.5,46.9,89.3,0,2.4
Adilabad,Bheempoor,2019/01/14,0,14,31.4,51.6,97.1,0,0.7
Adilabad,Bheempoor,2019/01/15,0,11,30.4,43.5,88.9,0,0.9
Adilabad,Bheempoor,2019/01/16,0,9,28.4,40.9,92.2,0,1
Adilabad,Bheempoor,2019/01/17,0,8,28.7,40.9,91.3,0,0.2
Adilabad,Bheempoor,2019/01/18,0,9.7,31,45.6,85,0,0.4
Adilabad,Bheempoor,2019/01/19,0,9.2,30.5,39.1,87.7,0,7
Adilabad,Bheempoor,2019/01/20,0,7.9,30.7,43.7,85,0,0.7
Adilabad,Bheempoor,2019/01/21,0,7.7,31.8,38.6,82.3,0,0.7
Adilabad,Bheempoor,2019/01/22,0,17.2,33.2,34.4,81.9,0,2.6
Adilabad,Bheempoor,2019/01/23,0,15.7,31.5,35,88.8,0,1.6
Adilabad,Bheempoor,2019/01/24,0,13.9,31.6,43.8,83.2,0,1.2
Adilabad,Bheempoor,2019/01/25,0,17.1,31.7,58.7,86.7,0.2,3.3
Adilabad,Bheempoor,2019/01/26,0,18.8,29.4,68.1,75.9,2,2.5
Adilabad,Bheempoor,2019/01/27,0,17.4,21.1,78.4,88.2,0,8.2
Adilabad,Bheempoor,2019/01/28,0,12.8,23.5,64.3,94.5,0,1
Adilabad,Bheempoor,2019/01/29,0,5.4,26.8,33.5,100,0,2.4
Adilabad,Bheempoor,2019/01/30,0,3.6,25.9,20.8,82.2,0,2.4
Adilabad,Bheempoor,2019/01/31,0,4.9,28,20.8,79.8,0,2.1
Adilabad,Bheempoor,2019/02/01,0,9.8,30.8,21.2,79.9,0,2.4
Adilabad,Bheempoor,2019/02/02,0,12.7,30.8,31.8,90.1,0,2.8
Adilabad,Bheempoor,2019/02/03,0,13.3,31.7,28.6,85.2,0,3.1
Adilabad,Bheempoor,2019/02/04,0,12,33,21.8,75.1,0,3.2
Adilabad,Bheempoor,2019/02/05,0,11.3,32.4,22.3,81.5,0,2.3
Adilabad,Bheempoor,2019/02/06,0,14.4,32.7,23.9,74.2,0,3.4
Adilabad,Bheempoor,2019/02/07,0,22.4,34.1,25.4,68.1,0,5.3
Adilabad,Bheempoor,2019/02/08,0,14.6,33.5,31.1,62.5,0,3.4
Adilabad,Bheempoor,2019/02/09,0,10.3,30.6,26.7,56.7,0,2
Adilabad,Bheempoor,2019/02/10,0,5.5,28.2,20.2,65.7,0,2.8
Adilabad,Bheempoor,2019/02/11,0,9.1,30.4,21,69.6,0,2.8
Adilabad,Bheempoor,2019/02/12,0,15.5,32.4,25,73.9,0,2.1
Adilabad,Bheempoor,2019/02/13,0,15,33.4,34.6,91.9,0,2.5
Adilabad,Bheempoor,2019/02/14,0,13.8,35.3,20.1,69.1,0,2.4
Adilabad,Bheempoor,2019/02/15,0,21.6,36.2,20.8,61.3,0,3.1
Adilabad,Bheempoor,2019/02/16,0,18.1,34.8,31.7,78.2,0,4.5
Adilabad,Bheempoor,2019/02/17,0,14,34.4,35.5,75.4,0,1.9
Adilabad,Bheempoor,2019/02/18,0,12.4,32.2,26.6,68.4,0,1.6
Adilabad,Bheempoor,2019/02/19,0,14,34.5,21,71.9,0,1.3
